year,product,total_delivered,"CONCAT(average_price,' $')",total_in_cart,"CONCAT(total_sales,' $')",product_rank,percent_sales,turn_over_rate
2025,Chair,27,"261.76 $",41,"8628.29 $",1,"3.56 %","0.66 %"
2025,Printer,14,"347.31 $",26,"6373.43 $",2,"2.63 %","0.54 %"
2025,Desk,15,"409.60 $",33,"6221.56 $",3,"2.56 %","0.45 %"
2025,Phone,21,"318.11 $",45,"6039.32 $",4,"2.49 %","0.47 %"
2025,Laptop,21,"257.84 $",41,"5592.01 $",5,"2.31 %","0.51 %"
2025,Tablet,14,"409.49 $",35,"5267.74 $",6,"2.17 %","0.40 %"
2025,Monitor,8,"324.81 $",18,"2880.81 $",7,"1.19 %","0.44 %"
2024,Phone,54,"427.37 $",85,"22582.53 $",1,"9.31 %","0.64 %"
2024,Monitor,55,"409.65 $",101,"22520.61 $",2,"9.28 %","0.54 %"
2024,Printer,40,"367.96 $",67,"14643.33 $",3,"6.04 %","0.60 %"
2024,Laptop,42,"350.95 $",72,"13325.13 $",4,"5.49 %","0.58 %"
2024,Tablet,30,"314.93 $",49,"10033.64 $",5,"4.14 %","0.61 %"
2024,Chair,39,"275.60 $",75,"10039.99 $",5,"4.14 %","0.52 %"
2024,Desk,33,"263.30 $",62,"8610.49 $",7,"3.55 %","0.53 %"
2023,Laptop,58,"355.22 $",95,"21797.29 $",1,"8.98 %","0.61 %"
2023,Printer,34,"512.26 $",66,"17037.97 $",2,"7.02 %","0.52 %"
2023,Tablet,41,"380.58 $",85,"16493.14 $",3,"6.80 %","0.48 %"
2023,Chair,39,"352.32 $",75,"12797.55 $",4,"5.28 %","0.52 %"
2023,Phone,26,"463.88 $",49,"11723.56 $",5,"4.83 %","0.53 %"
2023,Monitor,33,"325.42 $",69,"10598.20 $",6,"4.37 %","0.48 %"
2023,Desk,46,"241.53 $",81,"9393.73 $",7,"3.87 %","0.57 %"
